ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"98.175.31.195","elite","AS22773","US","Cox Communications Inc.","145","Cox Communications Inc","4145","socks4","N/A","5000","2022-04-17T07:49:18.646Z"
"221.4.161.201","elite","AS17816","CN","CNC Group CHINA169 Guangdong Province Network","320","N/A","51080","socks4","N/A","5002","2022-04-17T07:49:09.524Z"
"98.162.96.41","elite","AS22773","US","Cox Communications Inc.","150","Cox Communications","4145","socks4","N/A","5002","2022-04-17T07:48:57.014Z"
"98.162.25.7","elite","AS22773","US","Cox Communications Inc.","146","Cox Communications","31653","socks4","N/A","5002","2022-04-17T07:48:50.234Z"
"95.143.8.182","elite","AS31059","RU","Avelacom Khabarovsk","159","N/A","50285","socks4","N/A","823","2022-04-17T07:48:41.076Z"
"218.65.219.119","elite","AS4134","CN","Chinanet","281","Chinanet GX","4153","socks4","N/A","5001","2022-04-17T07:48:37.828Z"
"217.218.233.164","elite","AS58224","IR","Area","103","N/A","1080","socks4","N/A","423","2022-04-17T07:48:30.271Z"
"82.206.131.134","elite","AS22351","GB","Intelsat Global Service Corporation","771","Intelsat Global Sales & Marketing LTD","5678","socks4","N/A","5001","2022-04-17T07:48:25.776Z"
"8.42.71.226","elite","AS3356","US","Level 3 Communications, Inc.","124","Level 3, LLC","39593","socks4","N/A","250","2022-04-17T07:48:09.070Z"
"91.83.42.1","elite","AS12301","HU","Invitech ICT Services Kft.","29","Vertigo Plusz Kft.","44550","socks4","N/A","5001","2022-04-17T07:48:06.427Z"
"216.127.113.58","elite","AS7221","US","Towerstream I","77","BrightStar Communications Inc","5678","socks4","N/A","161","2022-04-17T07:48:01.064Z"
